Activity,% Wrong,Timing
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,100.0,19
Δραστηριότητα 4,0.0,8
Δραστηριότητα 4,0.0,27
Δραστηριότητα 4,0.0,40
Δραστηριότητα 4,0.0,7
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,17
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,0.0,18
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,100.0,6
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,100.0,45
Δραστηριότητα 4,100.0,64
Δραστηριότητα 4,100.0,31
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,100.0,45
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,100.0,24
Δραστηριότητα 4,100.0,15
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,100.0,9
Δραστηριότητα 4,100.0,14
Δραστηριότητα 4,0.0,66
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,15
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,100.0,13
Δραστηριότητα 4,0.0,18
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,100.0,16
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,30
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,100.0,48
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,13
Δραστηριότητα 4,0.0,5
Δραστηριότητα 4,100.0,27
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,25
Δραστηριότητα 4,100.0,29
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,100.0,22
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,100.0,13
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,100.0,22
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,6
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,100.0,11
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,30
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,0.0,6
Δραστηριότητα 4,100.0,6
Δραστηριότητα 4,0.0,18
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,7
Δραστηριότητα 4,0.0,42
Δραστηριότητα 4,0.0,43
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,32
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,40
Δραστηριότητα 4,0.0,5
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,100.0,15
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,5
Δραστηριότητα 4,0.0,24
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,27
Δραστηριότητα 4,100.0,36
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,27
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,100.0,6
Δραστηριότητα 4,100.0,65
Δραστηριότητα 4,100.0,32
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,35
Δραστηριότητα 4,0.0,37
Δραστηριότητα 4,0.0,43
Δραστηριότητα 4,0.0,75
Δραστηριότητα 4,100.0,34
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,100.0,13
Δραστηριότητα 4,100.0,38
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,27
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,31
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,58
Δραστηριότητα 4,100.0,32
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,100.0,86
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,69
Δραστηριότητα 4,100.0,28
Δραστηριότητα 4,100.0,20
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,0.0,7
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,0.0,32
Δραστηριότητα 4,100.0,13
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,100.0,6
Δραστηριότητα 4,100.0,34
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,29
Δραστηριότητα 4,100.0,6
Δραστηριότητα 4,100.0,39
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,0.0,25
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,28
Δραστηριότητα 4,100.0,6
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,100.0,50
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,100.0,18
Δραστηριότητα 4,0.0,33
Δραστηριότητα 4,0.0,8
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,100.0,40
Δραστηριότητα 4,100.0,38
Δραστηριότητα 4,100.0,42
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,100.0,243
Δραστηριότητα 4,0.0,40
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,28
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,100.0,56
Δραστηριότητα 4,100.0,9
Δραστηριότητα 4,0.0,51
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,100.0,18
Δραστηριότητα 4,100.0,17
Δραστηριότητα 4,100.0,61
Δραστηριότητα 4,100.0,13
Δραστηριότητα 4,100.0,60
Δραστηριότητα 4,100.0,60
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,30
Δραστηριότητα 4,0.0,53
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,23
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,30
Δραστηριότητα 4,0.0,7
Δραστηριότητα 4,0.0,24
Δραστηριότητα 4,0.0,97
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,0.0,8
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,0.0,30
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,28
Δραστηριότητα 4,0.0,8
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,100.0,24
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,100.0,14
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,31
Δραστηριότητα 4,100.0,24
Δραστηριότητα 4,100.0,17
Δραστηριότητα 4,0.0,63
Δραστηριότητα 4,0.0,28
Δραστηριότητα 4,100.0,11
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,8
Δραστηριότητα 4,0.0,52
Δραστηριότητα 4,0.0,40
Δραστηριότητα 4,100.0,14
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,0.0,32
Δραστηριότητα 4,100.0,38
Δραστηριότητα 4,100.0,17
Δραστηριότητα 4,100.0,17
Δραστηριότητα 4,100.0,64
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,100.0,10
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,0.0,8
Δραστηριότητα 4,100.0,20
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,0.0,130
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,100.0,24
Δραστηριότητα 4,0.0,52
Δραστηριότητα 4,0.0,18
Δραστηριότητα 4,0.0,23
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,100.0,32
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,42
Δραστηριότητα 4,0.0,28
Δραστηριότητα 4,0.0,28
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,31
Δραστηριότητα 4,0.0,6
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,0.0,33
Δραστηριότητα 4,100.0,34
Δραστηριότητα 4,100.0,4
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,100.0,14
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,100.0,25
Δραστηριότητα 4,0.0,27
Δραστηριότητα 4,0.0,25
Δραστηριότητα 4,100.0,16
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,100.0,8
Δραστηριότητα 4,0.0,42
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,24
Δραστηριότητα 4,100.0,14
Δραστηριότητα 4,0.0,33
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,100.0,112
Δραστηριότητα 4,0.0,47
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,0.0,21
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,31
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,27
Δραστηριότητα 4,0.0,27
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,100.0,20
Δραστηριότητα 4,0.0,18
Δραστηριότητα 4,0.0,67
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,71
Δραστηριότητα 4,100.0,17
Δραστηριότητα 4,0.0,61
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,31
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,100.0,16
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,39
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,0.0,44
Δραστηριότητα 4,0.0,31
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,98
Δραστηριότητα 4,100.0,20
Δραστηριότητα 4,100.0,23
Δραστηριότητα 4,100.0,12
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,30
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,100.0,15
Δραστηριότητα 4,100.0,14
Δραστηριότητα 4,100.0,11
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,30
Δραστηριότητα 4,100.0,33
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,0.0,70
Δραστηριότητα 4,0.0,38
Δραστηριότητα 4,0.0,54
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,46
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,100.0,33
Δραστηριότητα 4,0.0,33
Δραστηριότητα 4,100.0,31
Δραστηριότητα 4,100.0,35
Δραστηριότητα 4,100.0,31
Δραστηριότητα 4,100.0,59
Δραστηριότητα 4,100.0,19
Δραστηριότητα 4,100.0,47
Δραστηριότητα 4,100.0,22
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,23
Δραστηριότητα 4,0.0,69
Δραστηριότητα 4,0.0,63
Δραστηριότητα 4,100.0,18
Δραστηριότητα 4,0.0,25
Δραστηριότητα 4,0.0,42
Δραστηριότητα 4,100.0,14
Δραστηριότητα 4,0.0,30
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,25
Δραστηριότητα 4,0.0,9
Δραστηριότητα 4,0.0,37
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,100.0,13
Δραστηριότητα 4,100.0,5
Δραστηριότητα 4,100.0,147
Δραστηριότητα 4,100.0,38
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,100.0,18
Δραστηριότητα 4,100.0,23
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,6
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,100.0,21
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,100.0,19
Δραστηριότητα 4,0.0,25
Δραστηριότητα 4,100.0,87
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,100.0,20
Δραστηριότητα 4,100.0,18
Δραστηριότητα 4,100.0,46
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,144
Δραστηριότητα 4,0.0,117
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,10
Δραστηριότητα 4,100.0,7
Δραστηριότητα 4,0.0,19
Δραστηριότητα 4,0.0,32
Δραστηριότητα 4,100.0,15
Δραστηριότητα 4,0.0,13
Δραστηριότητα 4,0.0,22
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,100.0,16
Δραστηριότητα 4,0.0,18
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,18
Δραστηριότητα 4,100.0,18
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,0.0,30
Δραστηριότητα 4,0.0,16
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,0.0,29
Δραστηριότητα 4,0.0,26
Δραστηριότητα 4,100.0,19
Δραστηριότητα 4,0.0,54
Δραστηριότητα 4,0.0,15
Δραστηριότητα 4,100.0,11
Δραστηριότητα 4,100.0,18
Δραστηριότητα 4,0.0,14
Δραστηριότητα 4,100.0,20
Δραστηριότητα 4,100.0,119
Δραστηριότητα 4,100.0,121
Δραστηριότητα 4,0.0,38
Δραστηριότητα 4,0.0,37
Δραστηριότητα 4,0.0,17
Δραστηριότητα 4,100.0,24
Δραστηριότητα 4,0.0,11
Δραστηριότητα 4,0.0,77
Δραστηριότητα 4,0.0,38
Δραστηριότητα 4,0.0,12
Δραστηριότητα 4,0.0,29
Δραστηριότητα 4,100.0,69
Δραστηριότητα 4,100.0,33
Δραστηριότητα 4,0.0,20
Δραστηριότητα 4,0.0,15
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,0.0,117
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,25
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,100.0,4
Δραστηριότητα 5,0.0,7
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,27
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,18
Δραστηριότητα 5,100.0,43
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,100.0,41
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,28
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,0.0,20
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,100.0,26
Δραστηριότητα 5,100.0,53
Δραστηριότητα 5,100.0,32
Δραστηριότητα 5,100.0,19
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,57
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,100.0,14
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,14
Δραστηριότητα 5,0.0,27
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,0.0,15
Δραστηριότητα 5,0.0,19
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,0.0,105
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,100.0,164
Δραστηριότητα 5,100.0,60
Δραστηριότητα 5,100.0,35
Δραστηριότητα 5,100.0,30
Δραστηριότητα 5,100.0,14
Δραστηριότητα 5,0.0,61
Δραστηριότητα 5,100.0,82
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,0.0,7
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,100.0,29
Δραστηριότητα 5,0.0,17
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,40
Δραστηριότητα 5,0.0,24
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,19
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,33
Δραστηριότητα 5,0.0,12
Δραστηριότητα 5,100.0,14
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,21
Δραστηριότητα 5,100.0,56
Δραστηριότητα 5,100.0,18
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,23
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,1
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,23
Δραστηριότητα 5,0.0,12
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,100.0,26
Δραστηριότητα 5,100.0,24
Δραστηριότητα 5,100.0,14
Δραστηριότητα 5,100.0,33
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,100.0,17
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,0.0,12
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,26
Δραστηριότητα 5,100.0,31
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,71
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,100.0,40
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,0.0,30
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,70
Δραστηριότητα 5,0.0,54
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,100.0,82
Δραστηριότητα 5,100.0,51
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,26
Δραστηριότητα 5,100.0,23
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,100.0,26
Δραστηριότητα 5,0.0,26
Δραστηριότητα 5,100.0,14
Δραστηριότητα 5,100.0,1
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,67
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,18
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,0.0,17
Δραστηριότητα 5,100.0,95
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,0.0,12
Δραστηριότητα 5,0.0,27
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,19
Δραστηριότητα 5,100.0,21
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,0.0,17
Δραστηριότητα 5,100.0,21
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,27
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,0.0,80
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,0.0,17
Δραστηριότητα 5,0.0,35
Δραστηριότητα 5,0.0,63
Δραστηριότητα 5,0.0,26
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,0.0,17
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,0.0,30
Δραστηριότητα 5,0.0,13
Δραστηριότητα 5,0.0,5
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,100.0,96
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,0.0,21
Δραστηριότητα 5,0.0,27
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,0.0,7
Δραστηριότητα 5,0.0,25
Δραστηριότητα 5,100.0,52
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,24
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,0.0,8
Δραστηριότητα 5,100.0,17
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,100.0,19
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,100.0,18
Δραστηριότητα 5,0.0,7
Δραστηριότητα 5,100.0,31
Δραστηριότητα 5,0.0,15
Δραστηριότητα 5,0.0,15
Δραστηριότητα 5,0.0,5
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,100.0,47
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,0.0,24
Δραστηριότητα 5,0.0,12
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,23
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,16
Δραστηριότητα 5,100.0,23
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,30
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,0.0,41
Δραστηριότητα 5,0.0,7
Δραστηριότητα 5,0.0,14
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,0.0,34
Δραστηριότητα 5,0.0,31
Δραστηριότητα 5,0.0,19
Δραστηριότητα 5,0.0,18
Δραστηριότητα 5,100.0,42
Δραστηριότητα 5,100.0,22
Δραστηριότητα 5,100.0,4
Δραστηριότητα 5,0.0,21
Δραστηριότητα 5,0.0,24
Δραστηριότητα 5,100.0,22
Δραστηριότητα 5,0.0,38
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,12
Δραστηριότητα 5,100.0,15
Δραστηριότητα 5,0.0,11
Δραστηριότητα 5,0.0,9
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,38
Δραστηριότητα 5,100.0,36
Δραστηριότητα 5,100.0,22
Δραστηριότητα 5,100.0,20
Δραστηριότητα 5,100.0,22
Δραστηριότητα 5,100.0,5
Δραστηριότητα 5,100.0,8
Δραστηριότητα 5,100.0,51
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,0.0,13
Δραστηριότητα 5,100.0,41
Δραστηριότητα 5,100.0,19
Δραστηριότητα 5,0.0,5
Δραστηριότητα 5,100.0,10
Δραστηριότητα 5,0.0,17
Δραστηριότητα 5,0.0,29
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,0.0,43
Δραστηριότητα 5,100.0,40
Δραστηριότητα 5,100.0,41
Δραστηριότητα 5,100.0,19
Δραστηριότητα 5,100.0,11
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,0.0,12
Δραστηριότητα 5,100.0,13
Δραστηριότητα 5,0.0,35
Δραστηριότητα 5,0.0,10
Δραστηριότητα 5,0.0,16
Δραστηριότητα 5,100.0,9
Δραστηριότητα 5,100.0,60
Δραστηριότητα 5,100.0,17
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,6
Δραστηριότητα 5,0.0,6
Δραστηριότητα 5,100.0,7
Δραστηριότητα 5,100.0,52
Δραστηριότητα 5,100.0,20
Δραστηριότητα 5,0.0,33
